Statement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
This tool helps me decide <br>which QA activity to focus on.,0,2,1,1,7,3
This tool helps me judge the level of <br>QA taking place in the project.,0,2,0,0,7,5
This tool helps me improve my <br>awareness about QA in a project.,0,3,0,1,5,5
This tool helps me improve <br>QAs in a project.,0,2,2,2,8,0
I don’t see the added <br>value of this tool.,7,5,0,1,1,0
I expect to be making use of <br>this tool quite extensively.,0,4,3,3,4,0
