Statement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
Such a tool will help me decide <br>which QA activity to focus on.,0,0,0,1,11,2
Such a tool will help me judge the level <br>of QA taking place in the project.,0,0,0,1,8,5
Such a tool will improve my <br>awareness about QA in a project.,0,1,0,1,5,7
Such a tool will help me <br>improve QAs in a project.,0,0,2,2,8,2
I don’t see the added <br>value of such a tool.,6,6,1,1,0,0
I expect to be making use of <br>such a tool quite extensively.,0,3,3,4,4,0
